,job_title,job_company,job_loction,job_summary,job_ratings
246,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
247,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
248,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
249,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
250,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
251,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
252,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
253,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
254,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
255,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
256,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
257,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
258,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
259,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
260,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
261,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
262,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
263,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
264,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
265,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
266,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
267,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
268,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
269,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
270,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
271,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
272,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
273,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
274,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
275,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
276,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
277,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
278,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
279,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
280,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
281,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
282,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
283,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
284,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
285,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
286,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
287,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
288,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
289,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
290,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
291,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
292,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
293,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
294,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
295,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
296,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
297,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
298,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
299,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
300,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
301,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
302,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
303,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
304,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
305,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
306,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
307,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
308,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
309,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
310,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
311,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
312,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
313,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
314,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
315,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
316,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
317,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
318,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
319,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
320,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
321,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
322,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
323,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
324,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
325,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
326,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
327,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
328,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
329,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
330,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
331,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
332,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
333,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
334,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
335,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
336,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
337,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
338,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
339,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
340,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
341,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
342,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
343,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
344,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
345,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
346,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
347,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
348,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
349,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
350,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
351,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
352,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
353,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
354,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
355,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
356,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
357,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
358,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
359,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
360,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
361,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
362,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
363,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
364,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
365,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
366,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
367,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
368,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
369,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
370,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
371,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
372,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
373,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
374,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
375,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
376,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
377,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
378,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
379,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
380,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
381,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
382,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
383,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
384,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
385,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
386,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
387,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
388,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
389,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
390,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
391,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
392,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
393,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
394,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
395,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
396,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
397,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
398,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
399,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
400,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
401,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
402,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
403,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
404,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
405,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
406,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
407,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
408,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
409,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
410,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
411,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
412,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
413,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
414,Senior React Native Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
415,Career Coach (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"Bilingual in Urdu and English.
2+ Years of Technical Experience in the field of FullStack Web Development is a must.",
416,Senior Backend Engineer - .NET,VIDIZMO LLC,Karachi,"Backend Engineers create Web Application server stack that powers our various products, providing API to the front end, back, and front channel integrations…",
417,Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…",4.0
418,Android Developer,Loop,Karachi,You will work in a fast-paced engineering environment where you'll focus most of your day turning product specifications and high-fidelity designs into…,
419,Session Lead (External Contractor) - FullStack Web Developer...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
420,Senior Software Engineer - PHP,Creative Chaos,Karachi,"Integration of multiple data sources and databases into one system.
A PHP developer is responsible for writing server-side web application logic.",4.1
421,Software Development Engineer in Test,Contour Software,Karachi,"Megabus designs, builds, implements, and supports its suite of vertically aligned software products for the aftermarket Tyre and Automotive segment.",3.9
422,UX Strategy Associate,Creative Chaos,Karachi,"Synthesize customer data from many sources to identify opportunities and recommend design directions.
As Creative Chaos' UX Strategy Associate, this role will…",4.1
423,iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
424,Sr. iOS Developer,Novus Altair,Karachi,The job role requires carrying out all iOS development activities where work will be closely linked up with the project manager and product owner for all…,
425,Senior AWS Back-End Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
426,Senior Full Stack Software Developer,Circadia Health,Karachi,"Solid grasp of computer science, algorithms and data structures.
Circadia develops proprietary hardware, software, and algorithms for early detection of…",
427,Senior Manager Back-End Developer for night shift,INNOVATECH SOLUTIONS,Karachi,"Record data and report it to proper parties.
The candidates will be responsible for managing the interchange of data between the server and the users.",
428,Session Lead (External Contractor) - AI Programming with Pyt...,Udacity,Karachi,"During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their…",
